Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
ec[TFD@BGNICDnm`H`HHrJJYQQJZJYQIWIQ[IIIIIIVQYUUTuUUUUUTuUUUUU\PIBTQRZJJUH@	Compound 239	Clindamycin palmitate	7.55	12.59	non-CNS	663.401	7.9317	-6.538	6.3441	8	3	530.96	0.53018	0.91432	44	650 <= x < 675	
eo`TAL@BGNICDnmck`H`HHf|LbbfTTRfbfTRUrTblbrjjjijjjjjijh@@	Compound 240	Clindamycin phosphate	7.56	0.71	non-CNS	504.967	-3.2575	-0.704	-9.9489	10	5	344.67	0.59294	0.90876	31	500 <= x < 525	
edRPF@@@DBEo`\bfdRtrVTbbRRqRdTQeePwTsUU@AUAPQUSQ@@@	Compound 241	Clinofibrate		3.4	non-CNS	468.588	5.2925	-4.885	1.2909	6	2	364.31	0.63822	0.80395	34	450 <= x < 475	
dg@PBWPbAbLbbbRfaSR]pPTMQ@@	Compound 242	Clonidine	8.16		CNS	230.097	2.2313	-3.811	1.3983	3	2	164.01	0.40527	0.67019	14	225 <= x < 250	
ffc`P@H`QxNQQJJIJIZJHiSkQSejB`jFjhh@@	Compound 243	Cocaine	8.85		CNS	303.357	1.8508	-2.549	0.38974	5	0	227.86	0.35747	0.8293	22	300 <= x < 325	
fhihB@NJtXHHcHhdlhhiDzLMz@BijjD@@	Compound 244	Cycloguanil pamoate	8.18		non-CNS	251.720	1.3024	-4.304	0.45723	5	2	183.39	0.41314	0.78055	17	250 <= x < 275	
egX~J@@LNDjf`\PDOe]\bbRTVbRRrrTRbVRttTRRVaS`WPquwLkTuPPQUMT@STDDMP@A@P`	Compound 245	Dabigatran etexilate			non-CNS	627.744	5.2101	-5.97	5.21	12	2	501.22	0.58417	0.89395	46	625 <= x < 650	
dkmh@DKaePR[eoYaZeij`@	Compound 246	Dacarbazine			non-CNS	182.186	-0.0523	-1.236	-1.5753	7	2	145.7	0.52661	0.67089	13	175 <= x < 200	
gOt@@tiWM@B@@	Compound 247	Dalfampridine	8.95		CNS	94.1166	-0.0186	-0.897	-1.5787	2	1	80.54	0	0.69315	7	75 <= x < 100	
e`trIH@AMFnXDKGHmbVUP@cIICDhdeMELehhThhmThilhldHhmmZzmUUTuMUMMUSSMURuPF@JZvh	Compound 248	Dalfopristin	7.09		non-CNS	690.856	2.325	-2.859	2.1526	13	2	532.81	0.41473	0.92703	48	675 <= x < 700	
fiw``@H@[dbTrRTRaRfbTnB\DZpXykRtuUUUUWUP@@	Compound 249	Danazol			non-CNS	337.461	3.4638	-4.884	3.4638	3	1	252.15	0.22518	0.93298	25	325 <= x < 350	
fnsIPBH^BTBEY[BT]dTtRVTRVRbbOAFlVkP@TuMSRLBCh	Compound 250	Dantrolene		8.23	CNS	314.256	0.8126	-4.273	0.80627	9	1	228.66	0.3935	0.75329	23	300 <= x < 325	
fco@r@CQ[t\pQFQQQIYQQIJKSIKEgOYRV@`hJBhjjhH@@	Compound 251	Dapagliflozin			non-CNS	408.876	2.0041	-3.794	2.0041	6	4	296.38	0.52356	0.85664	28	400 <= x < 425	
fa{h@@@PIhJTljornsK``e^BwlmUUUU@PU@@@	Compound 252	Dapiprazole	7.64		non-CNS	325.458	2.867	-0.775	2.4117	5	0	263.2	0.44695	0.75107	24	325 <= x < 350	
efY\NH@LDbhDKNalRP@cIICEDdeEDXTmELdhmEdYE\CCbSRmTEAUEULDEEUAP@@	Compound 253	Darunavir			non-CNS	547.671	2.237	-3.96	2.237	10	3	401.06	0.53614	0.84479	38	525 <= x < 550	
ehR^DD@BO@dfake@PH`pHrJJIJZVIKJIJHqIYI`QsrihzzBBIij`@jjjaH@@	Compound 254	Dasatinib	7.19	8.52	non-CNS	488.014	3.6259	-4.701	3.407	9	3	361.62	0.48058	0.84401	33	475 <= x < 500	
efUXE@@BPACHdfecgj\bbbbbbbtRRrcVbfbQbWBfgcaWPtJKPADPDtUUUMUUAS@TFdrATLQP@	Compound 255	Daunorubicin	9.93	8	non-CNS	527.524	1.094	-5.014	-0.45418	11	5	360.66	0.18677	1.0394	38	525 <= x < 550	
dk_@@@SDf[Vux]Mjj@B@@	Compound 256	Debrisoquin	12.47		non-CNS	175.234	0.4135	-1.204	-4.6559	3	2	140.17	0.32312	0.66755	13	175 <= x < 200	
fdqP@B@NAKirRQUIIIIRUUUUUT@@	Compound 257	Decamethonium			non-CNS	258.492	-2.6762	-0.86	-2.6762	2	0	236.42	0.59891	0.34256	18	250 <= x < 275	
f`qHP@DXxHDg^rJIQSPiITyhsSUUUS@@@	Compound 258	Decitabine			non-CNS	228.207	-2.0118	-1.837	-2.0118	8	3	158.52	0.44661	0.75761	16	225 <= x < 250	
fcpP@IJlAA^yEMDeeDhmEEDhl^BMYjy{Z@BiZ@HH@H@@@	Compound 259	Deferasirox		4.51	non-CNS	373.367	2.7844	-5.439	-0.06758	7	3	276.06	0.39141	0.87243	28	350 <= x < 375	
deVD@N@dfY{[fiZh@@	Compound 260	Deferiprone			non-CNS	139.153	-0.0767	-1.05	-0.076717	3	1	108.34	0.02391	0.69315	10	125 <= x < 150	
enVVA@@DM@akfPBEBecg`\bbbrRbrRRRbrRbffeRRZjjZjjfjjYjjh@@	Compound 261	Deferoxamine	10.23	7.92	non-CNS	560.690	-0.3149	-2.232	-3.1408	14	6	457.34	0.72439	0.64751	39	550 <= x < 575	
eh\TJ@@JG@DKMclbbTRVbTttRTRrTrJJFfV~AZjjjXJBhi`@@@@	Compound 262	Delapril		3.84	non-CNS	452.549	1.2442	-3.575	-2.3406	7	2	355.46	0.58955	0.78295	33	450 <= x < 475	
e`\VLH@LC@jnehDO@@cIIChdieeMDeeDhdYHhYXUUl\mP@TsUU@PUE@@@	Compound 263	Delavirdine	6.82		non-CNS	456.569	1.8437	-4.777	1.7433	9	3	336.62	0.48589	0.86725	32	450 <= x < 475	
fbmQA@NNbBHsDILrsmlnleYpTpPLPTBQ@@@	Compound 264	Delorazepam			CNS	305.163	3.2323	-5.432	3.2323	3	1	216.3	0.25582	0.84245	20	300 <= x < 325	
e`\TAH@FoiMKHbacg`HcHhheEMEmeEhihhmXpHhXDeuM@QEMSUUSUSEH@@	Compound 265	Demeclocycline	5.79	6.9	non-CNS	464.857	-1.1184	-2.151	-8.5236	10	6	296.53	0.31941	1.0706	32	450 <= x < 475	
fnc`P@C@iynRJZIIEIJZIK\dVmAAEUT@DDGP@	Compound 266	Denopamine	9.84	9.22	non-CNS	317.384	1.7385	-2.231	-0.70383	5	3	255.48	0.50909	0.68393	23	300 <= x < 325	
ee_TA@@MdPDMG@failbbTTRTRbRbRVbVJQRfRRRgefVstNIMHlkTEAUEUUMUUTt@EP@@@	Compound 267	Deserpidine	7.14		non-CNS	578.660	3.6454	-4.428	3.2503	10	1	427.59	0.31052	0.99366	42	575 <= x < 600	
fnkA@@@IMKSksoZlejtTu[U]UUSUMUP@@	Compound 268	Desogestrel			non-CNS	310.479	4.4895	-4.998	4.4895	1	1	244.04	0.28669	0.90526	23	300 <= x < 325	
fle``@K@TdrnsSkMF^S@AUUUTTNT@@	Compound 269	Desvenlafaxine	8.91		CNS	263.380	2.3151	-2.19	0.82952	3	2	212.75	0.50995	0.72942	19	250 <= x < 275	
fhi``@I@PdrwLjn[s`mUAPTQ@@@	Compound 270	Dexmethylphenidate	9.09		CNS	233.310	2.0902	-2.609	0.39257	3	1	191.27	0.53867	0.70898	17	225 <= x < 250	
fleHP@DTuDC@irJIJHqZIJJgOQZijjjYj@j@@	Compound 271	Dexrazoxane			non-CNS	268.272	-2.6903	0.602	-2.6904	8	2	194.58	0.5052	0.67279	19	250 <= x < 275	
fb}a@@H`rQSISJQIIHlxjwhaSP@UUUUEVAITm@@	Compound 272	Dextromethorphan	9.85		CNS	271.402	3.1764	-3.516	0.72854	2	0	209.31	0.24434	0.91784	20	250 <= x < 275	
ek`TD@@DJ`ClbbbdRTTTJRVvaRdTRZJzvNZjj`B`BBjhJ@R`@	Compound 273	Dextromoramide	7.77		CNS	392.541	3.227	-2.3	2.7043	4	0	313.38	0.49965	0.77933	29	375 <= x < 400	
fik``@@`QdTRTfbbRVbtRol}FuUPUA@T@@@@	Compound 274	Dextropropoxyphene	9.52		CNS	339.477	4.2826	-3.353	2.1622	3	0	284.3	0.58883	0.75761	25	325 <= x < 350	
fmaP@N`QrH|bbtTRTrTTRRqbeiQoYRVoVhHHjjjjZJX@@	Compound 275	Diamorphine	9.1		CNS	369.416	2.0737	-3.553	0.36585	6	0	260.03	0.22006	1.0241	27	350 <= x < 375	
flyPQ@BLMzJPUdjsHhhheEieCNJ`bJIif@@@	Compound 276	Diatrizoate		2.96	non-CNS	488.010	1.4263	-4.345	-3.0179	6	3	232.86	0.42246	0.78589	19	475 <= x < 500	
fbePS@BLlENPUdjpuYdTTTRbRfTlxjBHhiif@@@	Compound 277	Diatrizoic acid		2.17	non-CNS	613.902	1.8634	-5.361	-3.3689	6	3	259.14	0.48617	0.8153	20	600 <= x < 625	
fikp`@DZLCvQQJIQIQISYKEJLyKTDA@UEUP@@@	Compound 278	Dibucaine	9.04		non-CNS	343.469	3.5233	-3.733	1.8692	5	1	289.23	0.56973	0.79383	25	325 <= x < 350	
f`aPP`M^djs`QAHa`PXHrJJJYRZr\EADBtl@@@	Compound 279	Dichlorphenamide			non-CNS	305.162	0.3996	-2.886	0.29	6	2	178.3	0.47467	0.75329	16	300 <= x < 325	
fle`a@BQRBHEDYEEDeMCDdXrSoPPT@PS@@@	Compound 280	Diclofenac		4	CNS	296.152	3.8852	-4.644	0.48068	3	2	213.18	0.5103	0.73114	19	275 <= x < 300	
egh\JL@I@jmOBck`HcbHZBLbbbTTjfTJbbrRbc@fafUWPtADMMMTuUSEP@@	Compound 281	Dicloxacillin		3.75	non-CNS	470.332	3.3098	-4.787	-0.34171	8	2	308.85	0.41397	0.95969	30	450 <= x < 475	
fig@p@@HdFJ\bbTTRRtVbarRipwlezMjXJBQj`B@@@	Compound 282	Dicumarol		4.85	non-CNS	336.298	2.588	-3.34	-10.036	6	2	233.82	0.37713	0.89477	25	325 <= x < 350	
ff}``@K@QdTRdRbRRVbJLGvVjjjjjjj@@	Compound 283	Dicyclomine	8.96		non-CNS	309.492	3.6609	-3.439	2.0871	3	0	264.62	0.60853	0.64123	22	300 <= x < 325	
fhyI`@DTyHF`yEDhdbhdls`iV\uRmUUU@@@	Compound 284	Didanosine			non-CNS	236.230	-0.5618	-2.422	-0.5743	7	2	170.82	0.34347	0.81997	17	225 <= x < 250	
fbu@`@@YRYWYeg_hrJX@JY``H@HEJP	Compound 285	Dienestrol			non-CNS	266.339	4.2726	-2.93	4.264	2	2	219.66	0.5472	0.73114	20	250 <= x < 275	
fnk``@F`sdTRTrTrTtReUFRUYpTmMSUUUU]T@@	Compound 286	Dienogest			non-CNS	311.424	3.2291	-4.111	3.2291	3	1	234.86	0.26908	0.91503	23	300 <= x < 325	
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@	Compound 287	Diethylstilbestrol			non-CNS	268.355	4.5248	-3.158	4.5168	2	2	220.68	0.47289	0.73114	20	250 <= x < 275	
e`\TD@@KJ`DDfzYU_uiYmUuKCGMgkofj`hHjjp@@B@@@@	Compound 288	Difenoxin	9.41	3.38	non-CNS	424.542	2.997	-4.383	-1.0194	4	1	338.77	0.53808	0.75832	32	400 <= x < 425	
ef{pK@@@DKOMklRVS[_Z|bbVTTbTTlJTfVrTRTRJbRbQTRTQEDa`TQUTrpLLjj^[TuUUUUUUUUUUUUUUUUUT@@@	Compound 289	Digoxin		7.15	non-CNS	764.946	2.7475	-6.086	2.3044	13	5	533.62	0.43965	1.0143	54	750 <= x < 775	
ffka`@B`x[IEEEDhhdeErRdoVRFNRtEPUTUUQT@@	Compound 290	Dihydrocodeine	9.33		CNS	301.385	1.8078	-3.089	-0.12835	4	1	209.64	0.22274	1.0055	22	300 <= x < 325	
emTzJ@@DFLkiPKGOIlbbbbbRTLTlRVtLRTRtRRTXDdTlBZF^~qiyUEeZjjji`hHZjj``XjJH@@	Compound 291	Dihydroergotamine	8.39		CNS	583.687	3.3492	-3.851	2.3125	10	3	405.81	0.2985	1.0693	43	575 <= x < 600	
fkA@@@YEDeLehheHmXlhiSghasUSTuUUUMUU@qQeM`	Compound 292	Dihydrotachysterol			non-CNS	398.672	7.6685	-6.024	7.6685	1	1	336.82	0.38198	0.81905	29	375 <= x < 400	
gGQDJ@`aBSKUTe@@	Compound 293	Dimercaprol			non-CNS	124.228	0.3225	-1.987	0.31963	1	1	91.59	0.76843	0.69315	6	100 <= x < 125	
em_PO@@@NIOLjnigo`TZYU\bbbTTVLRRTtrTRfrJbTTrXxTLbJVNYyZAbHBBbjjjjjjj`h@@	Compound 294	Diosmin		7.31	non-CNS	608.547	-0.634	-2.967	-0.66904	15	8	409.06	0.47709	0.95004	43	600 <= x < 625	
fj}`@D@@gIIDceEEDdef\CeIZjih@@@`@@	Compound 295	Diphemanil methylsulfate			non-CNS	278.418	0.1926	-3.097	0.1926	1	0	227.88	0.38356	0.71194	21	275 <= x < 300	
fj}a@@K@RfYVYuUqV}fIZjj@H@``@@	Compound 296	Diphenylpyraline	8.87		CNS	281.398	3.7071	-3.075	2.2216	2	0	232.12	0.40634	0.57758	21	275 <= x < 300	
fega@@H`rJJQJJKIIQ[RiNrDhymUPA@EAUPTCD@@	Compound 297	Dipipanone	9.3		CNS	349.516	4.6529	-3.808	2.7507	2	0	291.32	0.52087	0.75761	26	325 <= x < 350	
fisaP@N`PhJ\bbTbebRRffduLyjjBBIjjhax`@	Compound 298	Dipivefrin	9.33		non-CNS	351.441	2.8264	-2.87	0.89335	6	2	279.47	0.4093	0.77181	25	350 <= x < 375	
eb^QB@@LFNCHdle`MD\TeYeUgee^]^]uRqIjjX{zj``hJBhjjjj`h@@	Compound 299	Dipyridamole			non-CNS	504.634	0.7916	-3.824	0.72946	12	4	390.18	0.45123	0.91968	36	500 <= x < 525	
e`PTAH@JIAELfnamc`@cIEeDhibeDeLeEeEldUUULuPAEMSUDAE@@	Compound 300	Docarpamine			non-CNS	470.541	2.7418	-4.506	2.7418	10	2	368.77	0.55664	0.77499	32	450 <= x < 475	
fnmA@@@IJjjjjjjuUUUUUUP@@	Compound 301	Docosanol			non-CNS	326.606	9.1385	-5.877	9.1385	1	1	321.07	0.6052	0.39608	23	325 <= x < 350	
fagQ`@FE@YrSLkkk\rnscAJtdk^mUUUSRDAU@@@	Compound 302	Dolasetron	5.68		CNS	324.379	2.2352	-3.509	2.1198	5	1	231.53	0.28448	0.86187	24	300 <= x < 325	
fca`@B`M{HhhhedeDdebeDdQdmIJo[PTDUUUT@DQCE@@	Compound 303	Donepezil	9.12		CNS	379.498	4.2149	-4.347	2.965	4	0	299.91	0.4285	0.83685	28	375 <= x < 400	
flePS@KA`aw`AE@`pQddabbTNTboMRTmSUUKUH@@	Compound 304	Dorzolamide	6.88	8.16	non-CNS	324.445	0.2792	-2.357	0.088926	6	2	209.88	0.45574	0.89531	19	300 <= x < 325	
fj}`B@D`BDieeeuYdaF\F`h@PHjh@PT`	Compound 305	Dosulepin	9.76		CNS	295.449	3.8201	-4.465	1.4575	1	0	237.82	0.33444	0.83396	21	275 <= x < 300	
fcP`@DMAoHhhiLhhlddmcDdPPRijo[UUPA@DEUTE@U@@	Compound 306	Doxapram	7.23		CNS	378.514	3.2136	-2.03	2.9886	4	0	299.62	0.43511	0.82089	28	375 <= x < 400	
ehZZJ@@DCDln`FMKgdfYeU{Ug^]UVPsRrHih[XyjjjhH@@`@jj@`pH@@	Compound 307	Doxazosin	7.24		non-CNS	451.481	2.1379	-4.1	1.9083	10	1	330.83	0.34639	0.88077	33	450 <= x < 475	
fj}a@@D`RfVVWW}fRDYpZB`A@bj`AAR@	Compound 308	Doxepin	9.76		CNS	279.382	3.4331	-3.377	1.0705	2	0	230.33	0.32182	0.83396	21	275 <= x < 300	
eg`PD@@@ILbbbTrJbbTbubrbc@`RTQUTsTuUUUMUU@XLReu@	Compound 309	Doxercalciferol			non-CNS	412.655	6.7902	-5.528	6.7902	2	2	339.9	0.37467	0.83726	30	400 <= x < 425	
fbuQ@@NZ@eMKMjkOYOluU@D@T@PaP@	Compound 310	Doxylamine	8.87		CNS	270.375	1.8821	-1.64	0.40109	3	0	226.79	0.52941	0.73284	20	250 <= x < 275	
fns@`@@FrQQRJIFIHkKJdeVCF`jHhjZjb@@	Compound 311	Dronabinol			CNS	314.467	6.131	-4.807	6.1261	2	1	254.33	0.40038	0.90011	23	300 <= x < 325	
enYTJH@LGhDG@e`@cIIChdihdimDddTdeDddiMCGNiej@HZf``bjjjjH@@@	Compound 312	Dronedarone	9.65		non-CNS	556.765	6.7266	-8.42	4.3378	7	1	449.56	0.64374	0.89531	39	550 <= x < 575	
fcpb@CIZJhICHhdlideDeeEEBeQ`Xmzo\@DuUTuL@AP@@	Compound 313	Droperidol	6.75		CNS	379.434	3.4571	-5.293	3.369	5	1	287.2	0.45862	0.83396	28	375 <= x < 400	
emhPL@@@FelbbRfbbeRfbbeRhXTtTL|BRJJjFfZZjjjjjjfjj@@@	Compound 314	Drospirenone			non-CNS	366.499	3.4384	-4.938	3.4384	3	0	242.54	0.21351	1.0122	27	350 <= x < 375	
ffs@`@@UrJJIYQJEJZILyhw`iJuUUUUUUU@@@	Compound 315	Drostanolone			non-CNS	304.472	3.87	-4.485	3.87	2	1	226.28	0.30798	0.86986	22	300 <= x < 325	
fk`P@G@XvZTrsjk_rmjxeNCWmAPQTu@DUTP@@	Compound 316	Drotaverine	6.23		non-CNS	397.513	4.8284	-5.112	4.8001	5	0	327.85	0.39634	0.86289	29	375 <= x < 400	
fj}aB@CL@DYHhmLeDhdhkbghyKSMTDA@DDBD@@	Compound 317	Duloxetine	9.7		CNS	297.421	3.8368	-4.399	1.5321	2	1	237.3	0.25412	0.72768	21	275 <= x < 300	
ebQTDF@NHSLPIABPpdHiAJPrdLbdLTRVbtTbdUQfRfRtfaWTruwtJMTDDMUUUUUTteT@@@	Compound 318	Dutasteride			non-CNS	514.508	5.088	-6.532	5.088	4	2	343.33	0.40067	0.93236	36	500 <= x < 525	
fnk@`@@UrJIJYQKISQHrgIZ]zNVfijjjjZj@@	Compound 319	Dydrogesterone			non-CNS	312.451	3.7436	-4.314	3.7436	2	0	236.37	0.29046	0.89258	23	300 <= x < 325	
e`RTD@@DH`GlbfdTTTRRRVuRbRfSfPQTRVqswsUPAPAPU@ATDTCE@@	Compound 320	Darifenacin	1.11		CNS	426.558	3.9043	-3.911	1.1954	4	1	331.58	0.47479	0.83887	32	425 <= x < 450	
dedHXFBPRPrPjPFPfPrJPsJUUUPU@@	Compound 321	Desflurane			CNS	168.036	1.1955	-2.345	1.1955	1	0	97.01	0.8256	0.67701	10	150 <= x < 175	
fcAR@AU[OXICHiEHhhhblXdicBkvkNbdmUUULuUMSUT@@	Compound 322	Dexamethasone			CNS	392.465	1.2884	-3.25	1.2884	5	3	268.83	0.32617	0.97661	28	375 <= x < 400	
foAP@@@TRf^{elTMZVj@`h`P`@	Compound 323	Dexmedetomidine	7.7		CNS	200.284	2.8487	-2.795	2.792	2	1	170.63	0.26507	0.70389	15	200 <= x < 225	
fdyAa@OAbBPUHYEEDhddYeFRMZB@B@i`@@	Compound 324	Diflunisal		2.69	CNS	250.200	2.6598	-4.047	-2.0497	3	2	176.17	0.41621	0.75474	18	250 <= x < 275	
f`~P@`LZ@DHBBAB`cHheDdiXduUTuT@@	Compound 325	Disulfiram			CNS	296.547	3.343	-3.266	3.343	2	0	238.58	0.72152	0.45401	16	275 <= x < 300	
do~J@BAFM|bfffbRavvjh@b@@	Compound 326	Droxidopa	8.72	1.46	CNS	213.188	-3.3107	-0.401	-9.2463	6	5	149.93	0.57641	0.64441	15	200 <= x < 225	
ffsPA@IQADZbLbbbTTVTTJRKNF}EIZpDEUTB`EDJD@@	Compound 327	Eberconazole	6.36		non-CNS	329.229	4.9532	-6.782	4.8767	2	0	238.1	0.20067	0.90142	22	325 <= x < 350	
fegAR@HHpNX@cIIKEDeDcHdcIiIWdeZm@PUUUUSE@@@	Compound 328	Ecabet		3.89	non-CNS	380.503	2.2097	-3.44	-6.6683	5	2	268.95	0.37047	0.91714	26	375 <= x < 400	
do^LRIpj@HcpfTiiuUjfjjj`@	Compound 329	Echothiophate			non-CNS	256.326	-2.3845	0.334	-2.3845	4	0	196.98	0.87461	0.42796	15	250 <= x < 275	
fakQC@CIDBHUD]bLbbbRbrrbbRQsNIsUlAAUUPJADPhP@	Compound 330	Econazole	6.48		non-CNS	381.689	4.2444	-4.345	4.1534	3	0	277.02	0.41012	0.76182	24	375 <= x < 400	
fbyPH@BZ@bR`qSgHieDeDXdhhuUSUTs@@@	Compound 331	Edetic acid		3.08	non-CNS	292.243	-6.1434	1.67	-12.057	10	4	213.06	0.8573	0.56446	20	275 <= x < 300	
ejQ^BD@BNC@imdYMJe`H`XHrJIKISSJJIKQZJIZIEJaaHhzyGF@BfZjjfiZjjhf@@@	Compound 332	Edoxaban	6.33		non-CNS	548.066	0.0532	-2.802	-0.012125	11	3	397.72	0.38772	0.87805	37	525 <= x < 550	
dcNHBFAiRYVzzz@Hj`@@	Compound 333	Edrophonium		8.59	non-CNS	166.243	-3.283	-1.547	-3.3099	2	1	136.03	0.51662	0.61059	12	150 <= x < 175	
fj}```ARbBH]H^d@rFQQISJQYRINTYHvRp@UU]STUCe@@	Compound 334	Efavirenz			non-CNS	315.677	3.6614	-7.173	3.6614	3	1	210.58	0.31179	0.87957	21	300 <= x < 325	
elZPJ@@@FAK@\dTRbbtJJTTRdVlVRddtjzZfjjjifZjjjjjj`DKKr@	Compound 335	Eldecalcitol			non-CNS	490.722	5.4744	-4.938	5.4744	5	4	390.55	0.43255	0.86153	35	475 <= x < 500	
fmoPb@Dm``@QddabRRtrTraTTTm^BgHukPPP@EMUTEPkP@	Compound 336	Eletriptan	9.62		CNS	382.526	3.4023	-4.315	2.3852	4	1	289.89	0.52757	0.82449	27	375 <= x < 400	
ehRRB@@DBFE@Bo`\bbbfbRRttVbLtrTtHxl|ZFN^Zi`hH`hH@HY@@`h`	Compound 337	Eltrombopag		3.97	non-CNS	442.474	5.8426	-5.395	2.4294	8	3	331.96	0.25877	0.87115	33	425 <= x < 450	
ffcI@@JBedBTksMrj{bUyNRuUSAPTUQ@@@	Compound 338	Emedastine	8.66		non-CNS	302.420	2.0454	-1.562	0.74293	5	0	247.52	0.4403	0.80949	22	300 <= x < 325	
f`qqa@NZ}ab`ACiAJYwf]\TMZjjiej`@@	Compound 339	Emtricitabine			non-CNS	247.249	-0.747	-1.869	-0.747	6	2	163.46	0.40666	0.76856	16	225 <= x < 250	
fmgQP@BZ@bPXyEMEDiXmEEdeLepTumUTuUMU@A@@@	Compound 340	Enalapril		3.69	non-CNS	376.451	-0.0245	-2.477	-3.7533	7	2	295.7	0.6174	0.77499	27	375 <= x < 400	
dedHXFBHRPJPjPFPfPrJZPjUUUQE@@	Compound 341	Enflurane			non-CNS	184.491	1.4972	-2.488	1.4972	1	0	106.08	0.84672	0.67701	10	175 <= x < 200	
fnsIb@BTteuV`dLbbbRbRRbbNtYrr_A`HJjfjibP@@	Compound 342	Enoxacin	8.59	5.31	non-CNS	320.323	-2.1183	-3.111	-4.0224	7	2	231.05	0.3166	0.89368	23	300 <= x < 325	
fhiPb@MNdD@PeMkmrrsegT@DtuI@@@	Compound 343	Enoximone			non-CNS	248.305	1.5599	-4.128	1.5576	4	2	183.11	0.50158	0.73945	17	225 <= x < 250	
dg|d@DscATfYYUVGSZjfVj@@	Compound 344	Enprofylline		7.83	non-CNS	194.193	0.2966	-2.413	0.16011	6	2	145.13	0.29921	0.79161	14	175 <= x < 200	
fbmi`@DTxIPDyrJIQQJjJKILyIW`mTluSUUP@@	Compound 345	Entecavir			non-CNS	277.283	-0.9301	-1.188	-0.93084	8	4	195.39	0.20438	0.86015	20	275 <= x < 300	
fjmaa@LBtX@P`HrJIQIKQPzIHeLeZjVfZ@B@HXf`	Compound 346	Epalrestat		3.7	non-CNS	319.404	1.7901	-3.349	-1.9104	4	1	237.55	0.43368	0.75181	21	300 <= x < 325	
dcNH@FAIfYWgZ`hH@@	Compound 347	Ephedrine	9.52		CNS	165.235	0.7353	-1.434	-1.3929	2	2	140.59	0.58289	0.55537	12	150 <= x < 175	
flmp@@@XIdbbVTTTRRNJJlzHTmUP@P@TDJT@@	Compound 348	Epinastine	8.77		non-CNS	249.316	2.5825	-4.118	1.1977	3	1	187.83	0.087057	0.87682	19	225 <= x < 250	
en]XM@@JPACHdfecgdV\bbbbbbbtRRrcVbfbVTVxTt|\JzFaqZ@Hb@fbjjijjjBf@hMIdBhYc@@	Compound 349	Epirubicin	9.93	8	non-CNS	543.523	0.1673	-4.507	-1.3809	12	6	368.51	0.19109	1.0419	39	525 <= x < 550	
eglPF@@@MHdiklbbRfbTfrTTJbtJUCBafe`VSPvqsSUUUTuUUTuU@@@	Compound 350	Eplerenone			non-CNS	414.496	1.9314	-4.061	1.9314	6	0	286.61	0.27346	1.051	30	400 <= x < 425	
eg`TBH@C@iECk`@cIEEmEDXhdlhddbiaPxDLmSMKTuUAADt`DGD@	Compound 351	Eprosartan	6.67	3.03	non-CNS	424.520	3.9658	-2.9	-0.20275	6	2	330.65	0.55679	0.81145	30	400 <= x < 425	
fkA@@@YEDeLlhheHmXlhiQghasUTluUUUMUU@pqeM`	Compound 352	Ergocalciferol			non-CNS	396.656	7.6423	-5.927	7.6423	1	1	334.81	0.37377	0.8218	29	375 <= x < 400	
emTzJ@@DFLgaPKGOIlbbbbbRTLTlRVtLRTRbtVbXDdTlBZF^AIYyeEUZjjji`hHZfjBHajJH@@	Compound 353	Ergotamine	7.78		CNS	581.671	2.5846	-3.347	2.0529	10	3	404.26	0.28662	1.071	43	575 <= x < 600	
ebsxM@@APFCGJnicglP|bbRbbRbbfVTVTRfbTTbVTvYRbNdUcgUrJnOMKKOOh\Z[UUUUUUUUUUMUUUUUMUUTUBdbblPRbQTZPrvetAbLYWL]Wj@@	Compound 354	Eribulin	9.39		non-CNS	729.904	1.5381	-6.523	-0.45458	12	2	512.69	0.28221	1.0661	52	725 <= x < 750	
eghPNH@CKLaiem`HcHhhdlhiDdeEhTebqpEUDdTu@PTEPUQUUPUQIGEEBdt`@	Compound 355	Ertugliflozin		11.98	non-CNS	436.886	1.6887	-3.097	1.6887	7	4	302.46	0.48498	0.95188	30	425 <= x < 450	
fbyHX@hJMxBL\ejs`qSfDxyTfew^fOY{HhmEDdeDhXuUUTts@@@	Compound 356	Erythrityl tetranitrate			non-CNS	302.108	-3.2086	-3.452	-3.2086	16	0	200.7	0.79811	0.65353	20	300 <= x < 325	
elzxK@@@pDIMDbfk`RVYS\bbTTTtbRfababRTbfbbcVrefLvQ^am]Zjjjjjjjjjfjjjjjjh@@	Compound 357	Erythromycin	8.38		non-CNS	733.933	1.6719	-3.645	0.64777	14	5	543.7	0.55584	0.98423	51	725 <= x < 750	
fju`P@H`P[rSKlkjvlkSUP@UUUDGD@@	Compound 358	Esmolol	9.67	14.09	non-CNS	295.378	1.5866	-2.344	-0.68232	5	2	245.64	0.66371	0.58006	21	275 <= x < 300	
fakqb@BTeCIPABU\jrkJokpSdabtuP@DAUPD@T@@	Compound 359	Esomeprazole			non-CNS	345.422	2.092	-2.721	2.0897	6	1	260.23	0.40336	0.83521	24	325 <= x < 350	
