Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	
f`a`RDLPQYp@awYIHUDdeheFVhHHZ@@@	11.2	25	potentiometric	a1/apparent	SO2-NH-	acidic	4903	1; 1	2	2184; 4681	-0.433296	-0.27140352	
f`a``@B@UdbrTTTbU]zjZBh@A@b@	5.75	30	spectrophotometric	a1/apparent	NH	basic	4904		0		-0.65629303	0.5730156	
f`a``@B@udTVbRbbQ]zjj`h@@@	7.5		potentiometric	a/apparent		basic	4905	0.94515	1	1332	0.31148916	0.80906475	
f`a``@E@Pdrrj}lmMPPQU@@@	8.9		potentiometric	a/apparent		basic	4906	0.96832; 0.9615; 0.9615; 0.9615; 0.9615	5	5429; 1900; 1902; 2656; 4108	0.13917626	0.032240085	
f`a``@E@PdvjrvkoMUUX@@@@	4.75	25	conductometric	a/apparent		acidic	4907	1; 1; 1; 1; 1; 1; 1; 1; 1	9	802; 2185; 2198; 2199; 3647; 3654; 3657; 4689; 4690	0.67258537	-0.25458953	
f`a``@K@PdrljorcMTDDU@@@	10.0	20	potentiometric	a1/apparent	NMe2	basic	4908	1; 1; 1	3	6260; 4909; 4692	0.7588713	-0.41934705	
f`a``@M@PdrljoJcMTDDU@@@	9.53	20	potentiometric	a1/apparent	NMe2	basic	4909	1; 1; 1	3	6260; 4692; 4908	0.77764046	-0.42470673	
f`a``@N@QdTRRfbaR]yjjj@@@@	7.66	20	potentiometric	b/apparent		basic	4910		0		0.7714885	-0.5497752	
f`a``@O@YdTTtQbRrMYjf`@l@@	9.69	25	spectrophotometric	a1/thermodynamic		acidic	4911		0		0.15276791	0.89629215	
f`aa@@A@rJJIKJHrLy@PUUT@@@	11.48	25	potentiometric	a1/thermodynamic	OH	acidic	4912	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	831; 832; 845; 846; 2211; 2212; 2215; 2216; 2221; 2498; 2518; 3399; 3400; 3667; 3668; 3669; 3675; 4507; 4508; 4698; 4699; 4700; 4703	-0.4271203	-0.027346585	
f`aa@@I@RfVUYXRjBHbj`@@	8.66	25	potentiometric	a2/apparent		basic	4913		0		0.7400873	-0.4138569	
f`aaCDERADDbMQBiRYfu^u`hHHjj`@@	5.13	25	spectrophotometric	a1/apparent	OH	acidic	4914	1; 0.98006; 0.98006; 0.9771; 0.9771	5	6181; 6174; 6171; 5150; 4705	0.081844874	-0.23161423	
f`aaCDERADDbMQDnRYfu^u`hHHjj`@@	11.76	25	spectrophotometric	a2/apparent	R2NH	basic	4915	1; 0.98006; 0.98006; 0.9771; 0.9771	5	6182; 6173; 6172; 5149; 4704	0.03865088	-0.22019799	
f`aaPDB@QjsbSdTtRfRbeYqjjjijq`beGB@@	2.4			a1/apparent		acidic	4916	0.95709; 0.95709; 0.95709	3	4707; 4713; 4917	-0.0492851	-0.108572975	
f`aaPDB@Qjsd]dTtRfRbeYqjjjijq`beGB@@	9.41			a2/apparent		basic	4917	0.95709; 0.95709	2	4708; 4916	-0.050490055	-0.07138908	
f`aaQ@LPPJR`AEOCIIBhiDmlYru@tDP@@	1.8	25		a1/apparent		acidic	4918	1	1	4919	-0.7580704	0.29660237	
f`aaQDLPPJR`AEOAWYIHUEHemcNVhF`b@@@	6.5	25		a2/apparent		acidic	4919	1	1	4918	-0.75030506	0.27715024	
f`aaR@LPPJs`AFRREQQQFHwejAhF@@@	3.1	25		a1/apparent	COOH	acidic	4920	0.97331	1	4716	0.08025476	0.906018	
f`aa`@B@PIIeUfuw^ZffB@@PI@	6.8	25	potentiometric	a1/apparent		acidic	4921		0		0.62929565	-0.40248325	
f`aa`@C@QkHiiECEDb{sUU@p@@@	4.8	25		apparent		acidic	4922	1; 1; 0.9615; 1	4	6271; 2251; 2693; 4718	0.2715509	-0.09472122	
f`ah@@@XISRTsOnrlxAPUUT@@@	9.55	25	potentiometric	a2/apparent		basic	4923	0.95709; 1; 0.95709	3	6274; 6273; 4925	0.26301453	0.7825748	
f`ah@@@XISVRJJIEYQIg@JBjj`@@	9.8	25	potentiometric	a2/apparent		basic	4924	0.95709	1	4926	0.80858886	0.5718727	
f`ah@D@XISViRfY}vUg@JBjj`@@	7.6	25	mean from 2	a1/apparent		basic	4925	1; 0.95709; 0.95709	3	6274; 6273; 4923	0.27228904	0.7635891	
f`ah@D@XISVirQQQHkJILxAPUUT@@@	6.97	25	mean from 2	a1/apparent		basic	4926	0.95709	1	4924	0.7976697	0.587545	
f`ah`BHLd{pDPeGIMsJJISPPPux@@	5.8	25	mean from 2	a1/apparent		acidic	4927	0.98006; 0.98006; 1; 1; 1; 1; 1; 1	8	6280; 6279; 6277; 6278; 6276; 6275; 4928; 4929	-0.11826354	-0.70579433	
f`ah`BHLd{pDPeGIMsJJISPPPux@@	-0.76	25	spectrophotometric	a1/apparent		basic	4928	0.98006; 0.98006; 1; 1; 1; 1; 1; 1	8	6280; 6279; 6277; 6278; 6276; 6275; 4927; 4929	-0.063502885	-0.6795928	
f`ah`BHRT{pDPeGIMrnkKpSP@Tux@@	5.5	25	spectrophotometric	a1/apparent		acidic	4929	0.98006; 0.98006; 1; 1; 1; 1; 1; 1	8	6280; 6279; 6277; 6278; 6276; 6275; 4927; 4928	-0.09895673	-0.67795646	
f`ap`DAR|A@iRYUVZUwfijfihDBP	4.6	20	potentiometric	a/apparent		basic	4930		0		-0.9559208	-0.058112588	
f`ap`DDTl@PnRYVU}YVfiB@j`DBP	9.56	25	potentiometric	a2/apparent		basic	4931	0.95709; 0.95709; 1	3	4933; 4934; 4932	0.45009542	-0.2446025	
f`ap`DDTl@PnrJIJIKPjJtuHPET@`R@	9.12	25	potentiometric	a2/apparent		basic	4932	0.95709; 0.95709; 1	3	4933; 4934; 4931	0.4574003	-0.2812614	
f`ap`DDTl@UiRYVU}YVfiB@j`DBP	8.43	25	potentiometric	a1/apparent		acidic	4933	0.95709; 0.95709; 1	3	4931; 4932; 4934	0.4645519	-0.26045862	
f`ap`DDTl@UirJIJIKPjJtuHPET@`R@	8.28	25	potentiometric	a1/apparent		acidic	4934	0.95709; 0.95709; 1	3	4931; 4932; 4933	0.44288498	-0.2654045	
f`apbDLV]A@@btyIHUDdeheFVhHHZ@@@	9.49	24.9	potentiometric	a1/apparent	tosylamide	acidic	4935		0		-0.85264254	-0.16702613	
f`apbDLV]A@@cGYIHUDdeheFVhHHZ@@@	10.8	24.9	potentiometric	a2/apparent	C(=NH)NH2	basic	4936		0		-0.65162677	0.7230129	
f`aq`FHZLABhRccRdwJ{[WAM@AMU@@@	3.11	20	mean from 2	a1/apparent		acidic	4937	1	1	4938	-0.66010904	0.22241911	
f`aq`FHZLABhRccSdTtRTtJdyIh@ajh@@	3.16	20	mean from 2	a1/apparent		acidic	4938	1	1	4937	-0.68070203	0.22650424	
f`i@`@@HR[fYU]`mNmyj`@@B@@@	3.52	25	mean from 2	a1/apparent	O-H	acidic	4939	1; 1; 1; 1	4	5045; 2328; 2329; 4940	0.48353228	-0.351454	
f`i@`@@HR[fYU]`mNmyj`@@B@@@	17.85	25	spectrophotometric	a2/apparent	C-H	acidic	4940	1; 1; 1; 1	4	5045; 2328; 2329; 4939	0.44892532	-0.32479605	
f`i@`@@HR[fYU]`mNmzf`@@B@@@	2.01	25	spectrophotometric	a1/apparent	O-H	acidic	4941	1	1	4943	0.81927204	0.147107	
f`i@`@@ZrJJJKPqZ\EqUgPE@DAD@@@	8.04	26	spectrophotometric	a1/apparent		acidic	4942	1; 1; 1; 1; 1; 1; 1; 1; 1; 1	10	5992; 5991; 5989; 5990; 949; 2333; 2335; 2336; 2337; 4944	-0.015740851	0.4902099	
f`i@`D@HQrS\sJklEiuoTt@@@P@@@	9.61	25	spectrophotometric	a2/apparent	O-H	acidic	4943	1	1	4941	0.83152777	0.12873895	
f`i@`D@ZuvQQQQZFKS`nJlz@h@`H`@@	11.47	26	spectrophotometric	a2/apparent		acidic	4944	1; 1; 1; 1; 1; 1; 1; 1; 1; 1	10	5992; 5991; 5989; 5990; 949; 2333; 2335; 2336; 2337; 4942	0.004865349	0.48590815	
f`i@c@G^AHBdMRFQRIIRJKqdnJxZjjjjZh@@	3.24		potentiometric	a1/apparent	COOH	acidic	4945		0		0.7864936	-0.5284451	
f`iD@@@PQ`ug^RevUnwAIZ]yi`BIZH@@	3.38	20	spectrophotometric	a1/apparent	NH	acidic	4946	1; 1	2	4948; 4947	0.47337297	0.5926526	
f`iD@@@PQ`ug^RevUvWAIJ]yi`@fjD@@	3.44	20	spectrophotometric	a1/apparent	NH	acidic	4947	1; 1	2	4948; 4946	0.45764527	0.5804655	
f`iD@@@PQcQg^RevYYwAEV]yi``XjD@@	2.71	20	spectrophotometric	a1/apparent	NH	acidic	4948	1; 1	2	4946; 4947	0.47985524	0.57182735	
f`iIB@L\uZP@aJYVYUQZMYwjBHdjaP@@	8.42	16	potentiometric	a/apparent		acidic	4949		0		-0.86008835	-0.18704504	
f`iI`DFRUX@oByIfYfW~ZTxuf`fBXX`@@	5.99	30	spectrophotometric	a1/apparent		basic	4950	1; 1; 1; 0.98006	4	6299; 5516; 5515; 5288	-0.70283264	-0.33512253	
f`iP@@@BRYfYU]`eNMyh@`BB@@@	11.01	25		a/apparent		basic	4951		0		-0.28536943	-0.8760615	
f`iP@@@JRigeVwbiFmzhHB@b@@@	4.62	25	spectrophotometric	a1/apparent	N	basic	4952	1; 0.9771; 1; 0.98006; 1; 0.9771; 0.9771; 0.9771	8	6310; 5517; 5463; 5412; 5067; 633; 937; 3726	-0.22455986	0.07411821	
f`iP@@@LRfV[Yv`iFtx@@@BH@@@	5.94	25	potentiometric	a/apparent		basic	4953	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6009; 6010; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4958; 4957; 4956; 4955; 4954	0.23211029	-0.6242079	
f`iP@@@LRfV[Yv`iZLx@@@BH@@@	5.71	25	potentiometric	a/apparent		basic	4954	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6009; 6010; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4958; 4957; 4956; 4955; 4953	0.16436428	-0.6607485	
f`iP@@@LrQQJJIJETEHuo@@@PD@@@@	4.98	25	potentiometric	a/apparent		basic	4955	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6010; 6009; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4958; 4957; 4956; 4953; 4954	0.20278952	-0.6917112	
f`iP@@@LrQQJJIJHtEHuo@@@PD@@@@	5.62	25	potentiometric	a/apparent		basic	4956	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6010; 6009; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4958; 4957; 4953; 4954; 4955	0.20940694	-0.651482	
f`iP@@@LrQQJJIJTtEJqg@@@PA@@@@	5.23	25	potentiometric	a/apparent		basic	4957	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6010; 6009; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4958; 4953; 4954; 4955; 4956	0.21730056	-0.61571443	
f`iP@@@LrQQJJIJUTEJqg@@@PA@@@@	5.57	25	potentiometric	a/apparent		basic	4958	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6010; 6009; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4959; 4953; 4954; 4955; 4956; 4957	0.18312468	-0.6854761	
f`iP@@@LrQQJJYQXtEKQg@@@@Q@@@@	5.44	25	potentiometric	a/apparent		basic	4959	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6009; 6010; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4964; 4963; 4953; 4954; 4955; 4956; 4957; 4958	0.1622078	-0.6783558	
f`iP@@@TrQQQQPqHldkUo@D@@D@@@@	6.02	20	spectrophotometric	a/apparent		basic	4960	1; 0.9615; 0.9615; 1	4	7164; 6027; 6026; 4961	-0.20029739	-0.11355609	
f`iP@@@XrQQSIIPiTyKSoA@@P@@@@@	7.14	20	spectrophotometric	a/apparent		basic	4961	1; 0.9615; 0.9615; 1	4	7164; 6027; 6026; 4960	-0.20958124	-0.13297814	
f`iP@@@XrQQ[QQJHxihsoMU@@@P@@@	10.35	25	potentiometric	a1/thermodynamic		basic	4962		0		-0.7508206	0.6087832	
f`iP@@@\rQQQQPjFTUHug@A@@A@@@@	6.15	25	potentiometric	a1/apparent		basic	4963	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6009; 6010; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4953; 4954; 4955; 4956; 4964; 4957; 4958; 4959	0.24238506	-0.65613085	
f`iP@@@\rQQQQPjKTdhuo@A@@D@@@@	5.96	25	potentiometric	a/apparent		basic	4964	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	34	7167; 7152; 7153; 6305; 6304; 6302; 6301; 6300; 6303; 6057; 6009; 6010; 6008; 6005; 6004; 6001; 5996; 5897; 5642; 5641; 5523; 5522; 5520; 5521; 5519; 5518; 4953; 4954; 4955; 4956; 4957; 4958; 4959; 4963	0.17822658	-0.6492124	
f`iP@D@NAJULwJzlDjqoA@@@D@@@@	11.85	25	potentiometric	a/apparent		acidic	4965	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	11	7168; 7166; 7162; 7161; 7157; 7155; 7154; 7151; 6306; 4966; 4967	-0.4028637	0.03930817	
f`iP@D@VANRQQSQIJEdeNMxH@@B@@@@	10.0	20	potentiometric	a/apparent		acidic	4966	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	11	7168; 7166; 7162; 7161; 7157; 7155; 7154; 7151; 6306; 4965; 4967	-0.43740287	0.044364832	
f`iP@D@^ANRQQSQIHydeVLxH@@@H@@@	9.8	20	potentiometric	a/apparent		acidic	4967	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	11	7168; 7166; 7162; 7161; 7157; 7155; 7154; 7151; 6306; 4965; 4966	-0.40173313	0.017505575	
f`iPA@BJAb^qDfUU[WhrVkN`@@@B@@@	3.9	25	potentiometric	a/apparent		basic	4968		0		-0.96182084	-0.0048870672	
f`iPA@NJAD^bLbbbTQfRSNRuYt@@@@P@@@	3.03	25	potentiometric	a/apparent		basic	4969	0.9615	1	2392	0.7102391	-0.08173918	
f`iPB@A^ADILkZjoQdeV]@@@@D@@@	6.95	20	spectrophotometric	a/apparent		basic	4970	0.96832; 0.96832; 0.9615; 1; 1	5	6719; 6717; 1070; 4973; 4971	0.34380934	-0.0042801336	
f`iPB@A^ADILsLk~pRkF]@@@@D@@@	6.74	20	spectrophotometric	a/apparent		basic	4971	0.96832; 0.96832; 0.9615; 1; 1	5	6719; 6717; 1070; 4973; 4970	0.32248864	-0.014025254	
f`iPB@D\ADILrvnjpRmN}STuP@`@@	7.45	25	spectrophotometric	b1/apparent	N-H(1+)	basic	4972	1	1	6311	0.1818434	-0.49792197	
f`iPB@F^ADILkZvkSdeV]@@@@D@@@	7.26	20	spectrophotometric	a/apparent		basic	4973	0.96832; 0.96832; 0.9615; 1; 1	5	6719; 6717; 1070; 4970; 4971	0.32407278	0.0075556277	
f`iPB@LN@DISMrj}bbkF}S@@@Q@@@	3.4	26.9	spectrophotometric	a2/apparent	NH3(+)	basic	4974	1; 1	2	4975; 4976	0.7170283	0.5155478	
f`iPB@LZ@DYHhihdhd\TTzwjX@B@H@@@	2.6	26.9	spectrophotometric	a2/apparent	NH3(+)	basic	4975	1; 1	2	4974; 4976	0.69701546	0.5194465	
f`iPB@L^@DYHhihddl\TUXsjX@@@h@@@	3.0	26.9	spectrophotometric	a2/apparent	NH3(+)	basic	4976	1; 1	2	4974; 4975	0.70485085	0.53727543	
f`iPBDLN@DNeJYnUWlTUXwjX@@BH@@@	0.07	26.9	spectrophotometric	a1/apparent	NH(+)	basic	4977	1; 1	2	4979; 4978	-0.7963988	-0.45004055	
f`iPBDLZ@DZgIEEMDeDcbbgV}S@@PA@@@	-1.8	26.9	spectrophotometric	a1/apparent	NH(+)	basic	4978	1; 1	2	4979; 4977	-0.8118204	-0.43428499	
f`iPBDL^@D^gIEEMDdecbbkF]S@@@E@@@	0.1	26.9	spectrophotometric	a1/apparent	NH(+)	basic	4979	1; 1	2	4977; 4978	-0.81157243	-0.46002924	
f`iP`FHBAZDbfwILsLjnpRgF}@@@A@@@@	-1.62	23	spectrophotometric	a/apparent		acidic	4980	0.9615	1	7187	-0.85931206	0.06299801	
f`iQ@@BB@dsJwN{IBT{tDE@PA@@@	9.26	30	potentiometric	a/apparent		acidic	4981	1; 1	2	4984; 4983	-0.11573484	0.33939847	
f`iQ@@DD@dsMrjyFZ][uMTEAC@@@	11.4		potentiometric	b/apparent		acidic	4982	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	28	7026; 7024; 7025; 7023; 6714; 6598; 6472; 6114; 6115; 6015; 5957; 5716; 5411; 5095; 5094; 5093; 1088; 2020; 2021; 2443; 2446; 2447; 3337; 3338; 3339; 3340; 3341; 3342	-0.46723333	-0.1625327	
f`iQ@@FJAdTRTtRaRiqVg^`BJ`@H@@	10.1	30	potentiometric	a2/apparent		acidic	4983	1; 1	2	4984; 4981	-0.119002074	0.29495957	
f`iQ@@FJAdTRTtRaRiqVg^`BJ`@H@@	1.0	30	potentiometric	a1/apparent		basic	4984	1; 1	2	4981; 4983	-0.1369451	0.30809048	
f`iQ@@FR@drmkZmNRUYt@@@@P@@@	7.2	30	spectrophotometric	a1/apparent		acidic	4985	1; 1; 1; 1; 1; 1; 1; 1	8	7185; 7186; 7183; 7182; 7179; 7178; 4999; 4996	-0.6153849	-0.49050876	
f`iQ@@IN@eMk[ZsNRUYu@AP@Q@@@	14.56	25	spectrophotometric	a1/apparent	N-H	acidic	4986	1; 1; 1	3	4991; 4990; 4987	0.7062322	-0.29907423	
f`iQ@@IN@eMk[ZsNRUYu@AP@Q@@@	7.09	25	spectrophotometric	b1/apparent	N-7	basic	4987	1; 1; 1	3	4991; 4990; 4986	0.7038339	-0.27731568	
f`iQ@@IN@eMk[ZsNRUYu@ASTqP@@	14.54	25	spectrophotometric	a1/apparent	N-H	acidic	4988	1; 1; 1	3	4993; 4992; 4989	-0.5346665	0.321012	
f`iQ@@IN@eMk[ZsNRUYu@ASTqP@@	9.21	25	spectrophotometric	b1/apparent	N-7	basic	4989	1; 1; 1	3	4993; 4992; 4988	-0.5077266	0.2975609	
f`iQ@@NV@eMkZkKARU[u@DTA@@@@	13.46	24	mean from 2	a1/thermodynamic	protone	acidic	4990	1; 1; 1	3	4991; 4986; 4987	0.6910081	-0.2619818	
f`iQ@@NV@eMkZkKARU[u@DTA@@@@	7.73	20	mean from 3	b1/apparent	N-7	basic	4991	1; 1; 1	3	4986; 4987; 4990	0.6866047	-0.29359952	
f`iQ@@NV@eMkZkKARU[u@DUSPp@@	15.34	25	spectrophotometric	a1/apparent	N-H	acidic	4992	1; 1; 1	3	4993; 4988; 4989	-0.52912927	0.30018234	
f`iQ@@NV@eMkZkKARU[u@DUSPp@@	9.72	25	mean from 2	b1/apparent	N-7	basic	4993	1; 1; 1	3	4988; 4989; 4992	-0.51455325	0.31744713	
f`iQ@@NV@eMkZkKARU[u@DUUPp@@	15.6	25	spectrophotometric	a1/apparent	N-H	acidic	4994		0		0.83022106	-0.1517956	
f`iQ@DAJ@jTfUn^uiqVg^`@H@@@@@	7.71	20	spectrophotometric	a/apparent	H+	acidic	4995	0.9615; 0.9615; 1; 1; 1	5	1104; 1105; 4998; 4997; 5002	-0.8267382	0.074564956	
f`iQ@DBB@JTfYVywYHRg^`@@B@@@@	4.85	30		a/apparent		acidic	4996	1; 1; 1; 1; 1; 1; 1; 1	8	7185; 7186; 7183; 7182; 7179; 7178; 4999; 4985	-0.5997678	-0.47866455	
f`iQ@DBF@RTfYVywYHRg^`@@B@@@@	7.05	20	spectrophotometric	a/apparent		acidic	4997	0.9615; 0.9615; 1; 1; 1	5	1104; 1105; 4998; 4995; 5002	-0.8292848	0.09645891	
f`iQ@DFF@rTfUmYWirRg^`@@B@@@@	6.63	20	spectrophotometric	a/apparent		acidic	4998	0.9615; 0.9615; 1; 1; 1	5	1104; 1105; 4995; 4997; 5002	-0.80834097	0.06840479	
f`iQ@DFJ@r\bbRfbTJUNJt{t@@P@@@@@	3.0	30	potentiometric	a/apparent		acidic	4999	1; 1; 1; 1; 1; 1; 1; 1	8	7185; 7186; 7183; 7182; 7179; 7178; 4985; 4996	-0.6343007	-0.4796904	
f`iQ@DNB@ClbbbTRRRKIZL{tDCAPA@@@	10.85	20	mean from 2	a1/apparent		basic	5000	0.97331	1	1108	-0.37031916	0.2119102	
f`iQ@DNBAr\bbbTRRRKIZL{tDCAPA@@@	7.01	20	mean from 2	a1/apparent		acidic	5001	0.97331	1	1109	0.3508868	-0.23667291	
f`iQ@DNRAJ\bbbTTLJSERt{t@D@@@@@@	5.61	20	spectrophotometric	a/apparent	H+	acidic	5002	0.9615; 0.9615; 1; 1; 1	5	1104; 1105; 4995; 4997; 4998	-0.8215106	0.05293953	
f`iXB@BTYpT`^BULsJjjtZsoULsUUJ`@@	7.44	18	potentiometric	a3/apparent	H	basic	5003	1; 1	2	5005; 5004	-0.62873757	0.1753855	
f`iXBBBTYpT`^AIYJULsJjjtZsoULsUUJ`@@	5.26	18	potentiometric	a1/apparent	H	basic	5004	1; 1	2	5005; 5003	-0.62295675	0.15358779	
f`iXBDBTYpT`^AIRifYUUVcV]zifZjiT@@	6.59	18	potentiometric	a2/apparent	H	basic	5005	1; 1	2	5003; 5004	-0.60784274	0.17117648	
f`iY@@F\diw`ISOrvkbdmV]SMR@EP@@	2.6	22		a/apparent		basic	5006		0		0.17023772	0.724294	
f`i`@@@ISLro{SdcZl@@@@T@@@	4.5	25.5	potentiometric	b/apparent		basic	5007	1; 1; 1; 1; 1; 1; 1	7	7189; 6021; 6020; 6019; 6018; 6017; 4836	-0.60081095	0.02998456	
f`i``@B@MdbrbbRTU`cScVjjBBbb@@	-0.48	20	spectrophotometric	b1/apparent	NH%+&	basic	5008	1	1	7192	-0.65284735	-0.6405663	
f`i``@B@udbrbRbbQ`cQg^jjhJ@h@@	5.75	20	spectrophotometric	b1/apparent	NH%+&	basic	5009		0		-0.12796746	0.79306674	
f`ia@@I@RfumUUgEZ]z`@@@@@@@	3.82	25.5	potentiometric	b/apparent		basic	5010	1; 1	2	5013; 5011	0.8415361	-0.097126625	
f`ia@@I@RfyfUdmNmz`@@@@@@@	7.0	20	potentiometric	a/apparent	NH%+&	basic	5011	1; 1	2	5013; 5010	0.83052117	-0.11485543	
f`ia@@L@RfUeUVcC^lzfh@@@@@@	3.48	25.05	spectrophotometric	a1/apparent	NH%+&	basic	5012		0		0.54343027	0.8023929	
f`ia@@L@RfvYU]`mNmz`@@@@@@@	2.38	20	spectrophotometric	a/apparent	NH%+&	basic	5013	1; 1	2	5010; 5011	0.84144217	-0.13201083	
f`ih@@@XIRRTsNJlxJSo@TCP@D@@@	3.98	20	potentiometric	a1/apparent		basic	5014	1; 0.97331; 0.97331; 1; 1	5	6331; 5580; 5579; 5015; 5016	-0.090499096	0.26164085	
f`ih@@@XIRRTsNJlxJSo@TCP@D@@@	9.2	20	potentiometric	a2/apparent		acidic	5015	1; 0.97331; 0.97331; 1; 1	5	6331; 5580; 5579; 5014; 5016	-0.1124945	0.23375054	
f`ih@@@XhJRTsvoJtXJSoA@Tp@D@@@	3.89	20	spectrophotometric	a/apparent		basic	5016	1; 0.97331; 0.97331; 1; 1	5	6331; 5580; 5579; 5014; 5015	-0.12538059	0.27145818	
f`ih@@@XhrRTsv{JtxJSoAACUUE@@@	4.19			a/apparent		basic	5017	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	1243; 2064; 2065; 2066; 2067; 2068; 2069; 2070; 2071; 2072; 2073; 3979; 3980; 3981; 3982; 3985; 3986	-0.24344076	0.39738002	
f`ih@@@XihvRJIJZIIFgMF]xHH`d@`@@	3.92	20	spectrophotometric	a/apparent		basic	5018	1; 1	2	6333; 6332	-0.6693112	-0.114451565	
f`ih@@@XipvRJIJZIIF`mF]xHJJjhX@@	4.2			a1/apparent		basic	5019	1; 1; 1; 1; 1	5	5933; 2539; 3439; 3440; 5020	0.029424358	0.57996905	
f`ih@@@XipvRJIJZIIF`mF]xHJJjhX@@	10.2			a2/apparent		acidic	5020	1; 1; 1; 1; 1	5	5933; 2539; 3439; 3440; 5019	0.028175307	0.53974104	
f`ii@@FBl{pDigvVUqSUg^if`BIb@@	4.01	20	spectrophotometric	a/apparent		basic	5021	1; 1; 1; 0.98006; 0.98006; 0.98006; 0.98006; 0.98006; 1; 1	10	6337; 6338; 6336; 6334; 6329; 6330; 5565; 5563; 5022; 5023	0.6207157	0.5703084	
