CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	
153-98-0	Serotonin hydrochloride	3-(2-aminoethyl)-1H-indol-5-ol hydrochloride	MI, 12, 8607	Eur Rev Med Pharmacol Sci. 2013 Jan 17(1):49-55				Not yet attributed	H2O	Pharmacological tool	Endogenous monoamine neurotransmitter								Anxiety, Cardiac toxicity, Epigastric misery, Erectile dysfunction, Insomnia, Nausea			Central Nervous System, Endocrinology	CNS Stimulant	dg]H`In@bLBTRTraS]Jp@TuD@@								
61622-34-2	Cefotiam hydrochloride	(6R,7R)-7-[[2-(2-amino-1,3-thiazol-4-yl)acetyl]amino]-3-[[1-[2-(dimethylamino)ethyl]tetrazol-5-yl]sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid hydrochloride	MI, 13, 1948	Clin Pharmacokinet. 1989 Sep 17(3):163-74	21.03.1978	1981	Yes	J01DC07		Chemical classification (according ATC code)	Second-generation cephalosporin	No (except altered BBB)	Parenteral		Plasmatic proteins	None		4000	Diarrhoea, Eosinophilia, Hepatic enzyme levels elevated, Hypersensitivity reactions, Nausea, Nephrotoxicity			Infectiology, Metabolism	Antibacterial	ebZYBJ@JEFnaem`X[@hd`HbBHPBO@axHpCQQJIIIJZJjJIQHkZLR\BK[WOUUUSSMSSTuURrFDX`@			40	45	0.6 - 1.1		0.5	
2062-84-2	Benperidol	1-{1-[4-(4-fluorophenyl)-4-oxobutyl]piperidin-4-yl}-1,3-dihydro-2H-benzimidazol-2-one	MI, 12, 1077	Psychopharmacology (Berl). 1994 Dec 116(4):457-63	04.01.1964	1966		N05AD07	H2O/EtOH 50/50	Chemical classification (according ATC code)	Butyrophenone derivative		Oral, Parenteral					1,5	Confusion, Dizziness, Drowsiness, Excitation, Extrapyramidal syndrome, Galactorrhoea, Gynecomastia, Headache, Hypotension, Insomnia, Menstrual disturbances, Tachycardia			Central Nervous System	Antipsychotic	fcpb@CIZJhICHhdlideDeeEEBeQ`Xmzo\@DuUUUL@AP@@					5.8		4.21	
70356-03-5	Cefaclor hydrate	(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid hydrate	MI, 12, 1962	J Chemother. 1999 Jun 11(3):163-78	13.01.1977	1988	Yes	J01DC04	H2O	Chemical classification (according ATC code)	Second-generation cephalosporin		Oral	GI tract		None		1000	Diarrhoea, Fever, Hepatic enzyme levels elevated, Hypersensitivity reactions, Mucocutaneous candidiasis, Nausea			Infectiology, Metabolism	Antibacterial	fikqQ@BVcIVoCADLBLbbbTTtZTttRPXHQf}fjifij@Bc@dYAP@		1 - 1.2	25 - 50		0.6 - 0.9	80 - 90		
1264-72-8	Colistin sulfate		MI, 12, 2542	Expert Rev Anti Infect Ther. 2012 Aug 10(8):917-34	12.05.1964	1958	Yes	J01XB01	H2O	Chemical classification (according ATC code)	Polymyxin	No (except children)	Parenteral			None			Bronchospasm, Confusion, Cough, Diarrhoea, Dizziness, Dyspnea, Nausea, Nephrotoxicity			Infectiology	Antibacterial	gfmTID`@NBcITfPdSKUFsMnvzSy`HLAB`xbCCgqUzKO`NFr@BLddCTRbRbTLtRbRfTVbffRbRTVRbttLrbVTlTtZTVrTT{\mMUUTuUMSSUUUMTuSUUUSSUUTuUUFADtHHddnQx`TCQMJtGHc@@		2 - 3						
23541-50-6	Daunorubicin hydrochloride	(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione	MI, 12, 2890	Blood. 2001 Aug 15 98(4):913-24	02.03.1964	1967	Yes	L01DB02	H2O, MeOH	Chemical classification (according ATC code)	Anthracycline		Parenteral			Liver			Amenorrhoea, Bone marrow suppression, Cardiac toxicity, Hair loss, Vomiting	DNA		Infectiology, Oncology	Antibacterial, Antineoplastic	enUXEH@JXIKDlnmkofPHc@eEEEEEEhdeeFmEMDcDaMC@oJaid\V`BH`IhjjjZjjBfHiMEeBdYb`@					46 - 55			
897-15-4	Dosulepin hydrochloride	(3Z)-3-(Dibenzo[b,e]thiepin-11(6H)-ylidene)-N,N-dimethyl-1-propanamine hydrochloride	MI, 13, 3462	Nord J Psychiatry. 2009 63(4):347-51	14.02.1984	1984		N06AA16 	H2O				Oral			Liver		150	Blurred vision, Constipation, Drowsiness, Hot flushes, Mouth dryness, Orthostatic hypotension, Suicide, Weight gain			Central Nervous System	Antidepressant, CNS Stimulant	ff}`A@L`bHABCLllno{\UJwhtE@BAEU@BBh					30			
78439-06-2	Ceftazidime pentahydrate	(6R,7R)-7-{[(2E)-2-(2-Amino-1,3-thiazol-4-yl)-2-{[(2-carboxy-2-propanyl)oxy]imino}acetyl]amino}-8-oxo-3-(1-pyridiniumylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate pentahydrate	MI, 13, 1959	Expert Opin Pharmacother. 2012 Oct 13(14):2097-109	06.12.1979	1984	Yes	J01DD02 		Chemical classification (according ATC code)	Third-generation cephalosporin		Parenteral		Plasmatic proteins	None		4000	Diarrhoea, Eosinophilia, Hepatic enzyme levels elevated, Rash			Infectiology, Metabolism	Antibacterial	eeQVCDDLAKBid]GO@alRZV^QYP@axHlgsldTRbRRRfbebRTVRtbt@@AGECGVusuUUTts@pTduTtdaABIAd`			8 - 10		1.8 - 2		0.23	
532-59-2	Amyleine hydrochloride	1-(Dimethylamino)-2-methyl-2-butanyl benzoate hydrochloride	MI, 12, 656	J Physiol. 1952 Oct 118(2):28P-29P	20.11.2028	1958		N01BC	H2O, EtOH, CH2Cl2	Chemical classification (according ATC code)	Esters of benzoic acid		Topical						Hypersensitivity reactions	Ion channel	Voltage-gated sodium channel	Neuromuscular	Local anesthetic	fdq`b@KPpBHPVVZU_c^Z`jBbbEJ@@								
103346-16-3	Iobenguane sulfate	2-(3-Iodobenzyl)guanidine sulfate	MI, 12, 5027	Cancer Biother Radiopharm. 2009 Aug 24(4):469-75	22.04.1986	1993	Yes	V09IX01	H2O/EtOH 50/50	Therapeutic classification (according ATC code)	Diagnostic radiopharmaceutical for tumour detection		Parenteral	Liver, Lung		Liver	Meta-iodohippuric acid, Hydroxy-iodobenzylguanidine, Meta-iodobenzoic acid		Dyspnea, Hot flushes, Hypersensitivity reactions, Hypertension, Palpitations			Oncology	Antineoplastic	fhapQ@AJuYw``kCAFQQIPiPFRTY@ATrt@@@								
1553-34-0	Metixene hydrochloride	1-Methyl-3-(9H-thioxanthen-9-ylmethyl)piperidine hydrochloride	MI, 12, 6059	Med Welt. 1977 Nov 25 28(47):1938-4	07.05.1958	1962		N04AA03	H2O, EtOH, CHCl3	Therapeutic classification (according ATC code)	Anticholinergic agent		Oral			Liver		40	Asthenia, Ataxia, Blurred vision, Constipation, Fever, Glaucoma, Headache, Mouth dryness, Nausea, Rash, Vertigo			Central Nervous System, Neuromuscular	Antiparkinsonian, Antispastic	fns`A@L`bHAFAQQQQIIXzIJLdjqoEkP@PAEUUAPCP@								
59-87-0	Nitrofural	5-nitro-2-furaldehyde semicarbazone	MI, 13, 6633	Antimicrob Agents Chemother. 1993 Sep 37(9):2033-6	16.10.1951			D08AF01 	H2O	Chemical classification (according ATC code)	Nitrofuran derivative		Oral, Topical	GI tract, Skin					Hypersensitivity reactions, Peripheral neuropathy			Infectiology	Antibacterial	dg\bAHe[ABNISdfyWUfyjZffP`X								
73590-58-6	Omeprazole	6-methoxy-2-{[(4-methoxy-3,5-dimethylpyridin-2-yl)methane]sulfinyl}-1H-1,3-benzodiazole	MI, 12, 6977	Drugs. 1998 Sep 56(3):447-86	31.10.1979	1988	Yes	A02BC01 	EtOH, MeOH				Oral	Small intestine	Plasmatic proteins			20	Constipation, Diarrhoea, Headache, Nausea	Enzyme	H+/K+ ATPase	Gastroenterology	Antiulcer	fakqb@BTeCIPABU\jrkJokpSdabtuP@DAUPD@T@@		1 - 2	97	40 - 60	1		0.3	
51-52-5	Propylthiouracil	6-propyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-4-one	MI, 12, 8054	Exp Clin Endocrinol Diabetes. 2010 Feb 118(2):101-4	07.04.1959	1947	Yes	H03BA02 	EtOH, CH3COCH3	Chemical classification (according ATC code)	Thiouracil		Oral		Plasmatic proteins	Thyroid		100	Arthralgia, Fever, Hepatotoxicity, Hypersensitivity reactions, Hypothyroidism, Leucopenia, Myalgia, Pruritus	Enzyme	Thyroid peroxidase	Metabolism	Antihyperthyroid	dmuH`Dq`BLbbRbJkfjZi@@		1 - 1.5	75 - 80	50 - 75	1 - 2			
67915-31-5	Terconazole	1-(4-{[(2R,4S)-2-(2,4-Dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)-4-isopropylpiperazine	MI, 12, 9303	Clin Ther. 1989 Sep-Oct 11(5):659-68	03.08.1978	1984	Yes	G01AG02	H2O/EtOH 50/50, DMSO	Chemical classification (according ATC code)	Triazole derivative		Topical			Liver		80	Menstrual disturbances, Mucosal irritation			Infectiology, Metabolism	Antifungal	ebQZLD@G@bm`QID`HcRHrJJIJQYKZIIFIKJIKJL\FVYESK_@pDEUUUK@AUUTTREBLP@						5 - 16		
33005-95-7	Tiaprofenic acid	2-(5-benzoylthiophen-2-yl)propanoic acid	MI, 12, 9562	Drugs. 1995 Dec 50(6):1050-75	19.05.1971	1975		M01AE11	H2O/EtOH 50/50	Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Propionic acid derivative, NSAID		Oral	GI tract	Plasmatic proteins			600	Cystitis, Gastrointestinal ulceration, Hypersensitivity reactions, Nephrotoxicity, Urinary troubles	Enzyme	Cyclooxygenase	Central Nervous System, Metabolism	Analgesic, Anti-inflammatory, Antipyretic	fdyAb@NV\@HrQQQPsQSHdhFMRsTC@QAe@@		0.6 - 2	98		1.5 - 2.5			
1404-93-9	Vancomycin hydrochloride		MI, 12, 10066	Cleve Clin J Med. 2011 Jul 78(7):465-71	04.12.1962	1955	Yes	J01XA01	H2O	Chemical classification (according ATC code)	Glycopeptide	No	Parenteral		Plasmatic proteins			2000	Anaphylactic shock, Hypersensitivity reactions, Nausea, Nephrotoxicity, Neutropenia, Ototoxicity, Thrombopenia, Vomiting			Infectiology, Metabolism	Antibacterial	gf[nPLp@HdryJUXQMdZPLNB`qY|qB`qZ\nwH^OgKuvwT^Lf@bHtQSbLbbbRRfbbtRbRbbtTrTTRfbTRTRrRRTIfbaRTT\TTJSTLTVTVvbC@PDjPnQJufoT]HdJeZkSovGAADEPUQSUTuTDuUU@uUTUSULEUPUCATDMAQQBRQKDrIiMbAJDdTIJtoRkPbjLXsR`jNp@@		2	55		3 - 12		0.3 - 0.43	
63968-64-9	Artemisinin	(3R,5aS,6R,8aS,9R,12S,12aR)-3,6,9-trimethyloctahydro-3,12-epoxy[1,2]dioxepino[4,3-i]isochromen-10(3H)-one	MI, 12, 856	Expert Rev Anti Infect Ther. 2009 Oct 7(8):999-1013	30.06.1988	1986		P01BE01	CHCl3, CH3COCH3, C2H5OC2H5, CH3COOC2H5									1000	Dizziness, Electrocardiogram disturbances, Nausea, Neutropenia, Tinnitus			Infectiology	Antimalarial	fb}AP@@HyivQQJJKJIRZN`mNmGrVjjjjjjjybDUHJJQeF@@								
34183-22-7	Propafenone hydrochloride	1-[2-[2-hydroxy-3-(propylamino)propoxy]phenyl]-3-phenylpropan-1-one hydrochloride	MI, 12, 7978	Eur Rev Med Pharmacol Sci. 2012 Feb 16(2):242-53	02.10.1984	1983	Yes	C01BC03	H2O	Therapeutic classification (according ATC code)	Antiarrhythmic, class Ic		Oral	GI tract				300	Arrhythmia, Blurred vision, Constipation, Headache, Nausea, Rash, Tremor, Vertigo			Cardiovascular	Antiarrhythmic	fekab@FpEdDQ`RbbTRRtVRbNRUYMV`hJ@`hj``D`@		3			4	100		
64228-81-5	Atracurium besylate	2,2'-{1,5-Pentanediylbis[oxy(3-oxo-3,1-propanediyl)]}bis[1-(3,4-dimethoxybenzyl)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolinium]bisbenzenesulfonate	MI, 13, 872	Anesthesiology. 1984 Oct 61(4):444-53	18.12.1979	1983	Yes	M03AC04 		Chemical classification (according ATC code)	Quaternary ammonium		Parenteral		Plasmatic proteins				Bradycardia, Bronchospasm, Dyspnea, Hypersensitivity reactions, Hypertension, Hypotension, Rash, Tachycardia, Vasodilatation			Neuromuscular	Curarizing	gniu@dPDMaz@`pZCE`htE^dqYmnL~XmT@DJ@cAucmdgirRRqI@rRqI@jIIIRIQYQYIQIIJIJEYHjSQZKIQIIISYDQHRYLUITzc]lIDSi\iUh@Eh@FjjjjhJ@H`ZhjjjjB@BBhj```@@@			82		0.33		0.16	
73-78-9	Lidocaine hydrochloride	N-(2,6-Dimethylphenyl)-N2,N2-diethylglycinamide hydrochloride	MI, 12, 5505	Rev Bras Anestesiol. 2010 May-Jun 60(3):325-33	11.05.1948	1947	Yes	C01BB01 	H2O, EtOH, CHCl3	Therapeutic classification (according ATC code)	Antiarrhythmic, class Ib	Yes	Parenteral, Topical	GI tract, Muscle, Skin	Plasmatic proteins	Liver	Active (MEGX or mono-ethyl-glycine-xylidine and GX or glycine-xylidine)	3000	Bradycardia, Hypotension, Nausea	Ion channel	Voltage-gated sodium channel	Cardiovascular, Neuromuscular	Antiarrhythmic, Local anesthetic	fdqQB@LL`BHPVUfYe[QZhJHj@@@			66		1 - 2			
304-84-7	Ethamivan	N,N-diethyl-4-hydroxy-3-methoxybenzamide	MI, 12, 3765	Can Med Assoc J. 1964 Dec 5 91:1203-8				R07AB04											Facial flushing, Headache			Central Nervous System	Analeptic, CNS stimulant	f`aa`@D@M{HhhhddYejsUAPQP@@								
1391054-02-6	Vigabatrin hydrochloride	4-aminohex-5-enoic acid	MI, 12, 10114	Expert Opin Pharmacother. 2009 Dec 10(18):3077-89	23.12.1991	1989	Yes	N03AG04	H2O	Chemical classification (according ATC code)	Fatty acid derivatives	Yes	Oral		Plasmatic proteins		None	2000	Blurred vision, Dizziness, Excitation, Fatigue, Headache, Memory loss, Nausea, Paresthesia, Somnolence, Weight gain	Enzyme	Gamma-amino-N-butyrate transaminase	Central Nervous System	Anticonvulsant, Antiepileptic	deFD`Nc@bDEm[ZjfFh@			0 - 5		5 - 8			
1235-82-1	Biperiden hydrochloride	1-(5-bicyclo[2.2.1]hept-2-enyl)-1-phenyl-3-piperidin-1-ylpropan-1-ol hydrochloride	MI, 12, 1274	Int J Neuropsychopharmacol. 2012 Nov 15(10):1375-85	16.04.1957	1954	Yes	N04AA02	H2O/EtOH 50/50	Therapeutic classification (according ATC code)	Anticholinergic agent		Oral			Liver		10	Arrhythmia, Constipation, Drowsiness, Glaucoma, Mouth dryness, Mydriasis, Photophobia, Skin dryness, Urinary troubles			Central Nervous System	Antiparkinsonian	fakaB@@pADXDiEEDdhdlXTcQ]{rV}j`jBjFjbi@bOD@@		10		30	20			
83881-52-1	Cetirizine dihydrochloride	2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]acetic acid dihydrochloride	MI, 12, 2063	J Allergy Clin Immunol. 1987 Jul 80(1):51-6	18.08.1982	1987	Yes	R06AE07	H2O	Chemical classification (according ATC code)	Piperazine derivative		Oral	GI tract	Plasmatic proteins			10	Fatigue, Headache, Mouth dryness, Somnolence	GPCR	Histamine H1 receptor	Allergology	Antihistaminic, Antipruritic	fkwQc@AI[MXHc\P^HRYWYfUW}U`hsrXy`@jhJBJjXbGB@@		1 - 1.5	93		10		0.5	
63245-28-3	Etifenin	2-[carboxymethyl-[2-(2,6-diethylanilino)-2-oxoethyl]amino]acetic acid		Front Med China. 2010 Sep 4(3):342-5	27.11.1997			V09DA02	DMSO	Therapeutic use	Association with radiopharmaceutical (technetium)								Hypersensitivity reactions			Diagnostic	Chemosensitizer	fn}QP@BF@bRmYELhdhiUEEDldkUULtADT@@@								
5874-97-5	Metaproterenol sulfate, orciprenaline sulfate	[2-(3,5-dihydroxyphenyl)-2-hydroxyethyl]-propan-2-ylazanium sulfate	MI, 12, 5992	J Rehabil Res Dev. 2004 Jan-Feb 41(1):59-64	20.05.1975	Withdrawn (2010)	Yes	R03AB03	H2O				Oral, Nasal	GI tract		Liver		6	Dizziness, Dyspnea, Headache, Hypotension, Nausea, Palpitations, Tachycardia, Tremor	GPCR	Adrenergic receptor beta-2	Respiratory	Bronchodilator	elTTEH@@ohDLBJMGBek`@cII@uDeDYdhBhdhcLeECImej@Hjjh@bjj@@@								
53179-09-2	Sisomicin sulfate	2-[4,6-diamino-3-[[3-amino-6-(aminomethyl)-3,4-dihydro-2H-pyran-2-yl]oxy]-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol sulfuric acid	MI, 12, 8695	Expert Rev Anti Infect Ther. 2013 Apr 11(4):421-8	27.08.1974			J01GB08		Chemical classification (according ATC code)	Aminoside								Confusion, Depression, Dyspnea, Hallucinations, Nephrotoxicity, Ototoxicity, Peripheral neuropathy, Seizure			Infectiology, Metabolism	Antibacterial	ebZZMH@KOBi`XDLBJEDfekhP@cII@xhhddYhihTieEeEhYUt}|mTuUUUUUUUUUZ\KRNPIQSJ]PZ[Iy_P@								
10457-90-6	Bromperidol	4-[4-(4-bromophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	MI, 12, 1466	Drugs. 1988 Jun 35(6):670-84	08.11.1961	1981		N05AD06	AcOH	Chemical classification (according ATC code)	Butyrophenone derivative		Oral					10	Blurred vision, Constipation, Extrapyramidal syndrome, Mouth dryness, Photosensitization			Central Nervous System	Antipsychotic	feg`a@KBRCDgHILkmZzk\ktXZwQp@UUUTp@Q@@@		3.9			20.4			
303-25-3	Cyclizine hydrochloride	1-benzhydryl-4-methylpiperazine hydrochloride	MI, 12, 2779	Palliat Med. 2008 Oct 22(7):869-71	03.03.1953	1952	Yes	R06AE03	DMSO	Chemical classification (according ATC code)	Piperazine derivative							100	Blurred vision, Constipation, Drowsiness, Excitation, Hypotension, Insomnia, Mouth dryness, Nausea, Occular irritation, Palpitations, Sedation, Tachycardia, Urinary troubles	GPCR	Histamine H1 receptor	Allergology, Central Nervous System	Antiemetic, Antihistaminic, Antivertigo, Sedative	fjmPB@HVADHMLkLzjxk^sDmUT@PAA@@@								
59333-67-4	Fluoxetine hydrochloride	N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine hydrochloride	MI, 12, 4222	CNS Neurosci Ther. 2008 Summer 14(2):153-64	02.02.1982	1987	Yes	N06AB03	MeOH, EtOH				Oral		Plasmatic proteins	Liver	Active (Norfluoxetine or demethylfluoxetine)	20	Diarrhoea, Fatigue, Headache, Insomnia, Nausea, Weight gain, Weight loss	Carrier	Serotonin transporter	Central Nervous System	Antidepressant	fn}a@`BzADPdLRAIC@eHXdleEDdeiJsVj@BjBBHHFh@@		6 - 8	95		4 - 6		20 - 40	
66108-95-0	Iohexol	5-[acetyl(2,3-dihydroxypropyl)amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide	MI, 12, 5068	Invest Radiol. 1985 Jan-Feb 20(1 Suppl):S10-3	10.02.1981	1987	Yes	V08AB02	H2O	Chemical classification (according ATC code)	Watersoluble, nephrotropic, low osmolar X-ray contrast media		Parenteral		Plasmatic proteins		None		Bronchospasm, Cough, Dizziness, Dyspnea, Headache, Hypersensitivity reactions, Hypotension, Nausea, Pulmonary oedema, Tachycardia			Diagnostic	Contrastant	edT\IL@BGNkOBfimgohPJqRlLkLbbbbbbTTVIbbvTvTKFdDETSMUSUUUP@@@			2		2			
303-50-4	Norcyclobenzaprine	3-(5H-dibenzo[a,d][7]annulen-5-ylidene)-N-methylpropan-1-amine		J Anal Toxicol. 1995 Jul-Aug 19(4):218-24	06.03.1997			Not yet attributed	H2O	Pharmacokinetics	Active metabolite of Cyclobenzaprine (Prestw-445)											Gastroenterology	Antiulcer	fbm`@@@YHleEEEDhlS^\fNZih@``A@@@								
 98-96-4	Pyrazinamide	Pyrazine-2-carboxamide	MI, 12, 8140	Int J Tuberc Lung Dis. 2003 Jan 7(1):6-21	05.04.1955	1952	Yes	J04AK01	H2O, MeOH			Yes	Oral		Plasmatic proteins	Liver	Active (pyrazinoic acid, 5-hydroxypyrazinoic acid)	1500	Anorexia, Arthralgia, Asthenia, Rash, Uricemia, Vomiting			Infectiology, Metabolism	Antibacterial	digH@DK`R[e^Eh@@@@			0 - 10		9 - 10			
127-48-0	Trimethadione	3,5,5-trimethyl-1,3-oxazolidine-2,4-dione	MI, 12, 9836	Comp Biochem Physiol C Pharmacol Toxicol Endocrinol. 1996 Nov 115(3):211-6	20.11.1951	1946	Yes	N03AC02	EtOH, CHCl3, EtOEt	Chemical classification (according ATC code)	Oxazolidine derivatives		Oral			Liver	Active (Dimethadione)	1500	Anemia, Anorexia, Blurred vision, Drowsiness, Epigastric misery, Gingivitis, Headache, Hiccup, Insomnia, Irritability, Nausea, Nose bleed, Paresthesia, Photophobia, Photosensitization, Rash, Uterine bleeding, Vertigo, Weight loss			Central Nervous System	Anticonvulsant, Antiepileptic	deVL@LAIRYYdjZji`@					12 - 24			
75330-75-5	Lovastatin	[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] (2S)-2-methylbutanoate	MI, 12, 5616	Am J Cardiol. 1990 Sep 18 66(8):11B-15B	04.11.1980	1987	Yes	C10AA02	CH3COCH3, DMF, CHCl3, MeOH				Oral	GI tract	Plasmatic proteins	Liver	Beta-hydroxyacid metabolite	45	Diarrhoea, Dizziness, Headache, Hepatic enzyme levels elevated, Nausea, Rhabdomyolysis	Enzyme	HMG-CoA reductase	Metabolism	Hypocholesterolemic	fkAP@@HEd^QQIQ[JJJJJUYPqTYzIZmUUUUTuTuTpbRdTmHr]JrZ@@		2 - 4	95		1.2	30		
1400-61-9	Nystatine	(21E,23E,25E,27E,31E,33E)-20-{[(3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy}-4,6,8,11,12,16,18,36-octahydroxy-35,37,38-trimethyl-2,14-dioxo-1-oxacyclooctatriaconta-21,23,25,27,31,33-hexaene-17-carboxylic acid	MI, 12, 6833	Curr Opin Investig Drugs. 2001 Apr 2(4):488-95	25.06.1957	1954	Yes	G01AA01 	HCON(CH3)2				Topical						Diarrhoea, Epigastric misery, Hypersensitivity reactions, Nausea			Infectiology	Antifungal	ghJFAD@@OpA@Hl^JasxRe^`tYlNw@\bbRbbaTttrtVRRbtVRbrTVbTTURrbTTrKUcuyjjjjjjZijjjVijiZjZjjjiHPeBLDhQbNEdbqWIrRjVdVWYShnayWdprPrQWJmQZ@						0 - 5		
51333-22-3	Budesonide	(11beta,16alpha)-16,17-[Butylidenebis(oxy)]-11,21-dihydroxypregna-1,4-diene-3,20-dione	MI, 12, 1490	Drugs Today (Barc). 2008 Nov 44(11):857-63	30.12.1981	1981	Yes	R03BA02	DMSO	Chemical classification (according ATC code)	Glucocorticoid		Oral, Aerial	Ileum, Ascending colon	Plasmatic proteins	Liver	6beta-hydroxybudesonide, 16alpha-hydroxyprednisolone	9	Blurred vision, Dyspepsia, Hypokalemia, Insomnia, Menstrual disturbances, Palpitations			Endocrinology	Anti-inflammatory	eolPF@@@KJniclbbRfbTLVRbTrTvVhXTL|BRJzFZVjjjjjjZjjhQaBSRFSrAQJEH@			85 - 90	9 - 20	3 - 5		3	
74431-23-5	Imipenem	(5R,6S)-3-({2-[(E)-(aminomethylidene)amino]ethyl}sulfanyl)-6-[(1R)-1-hydroxyethyl]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	MI, 12, 4954	J Antimicrob Chemother. 2006 Nov 58(5):916-29	09.07.1980	1985	Yes	J01DH51	H2O	Chemical classification (according ATC code)	Carbapenem		Parenteral			Kidney (dehydropeptidase I)		2000	Diarrhoea, Eosinophilia, Hepatic enzyme levels elevated, Hypersensitivity reactions, Nausea, Rash			Infectiology, Metabolism	Antibacterial	fbupR@FRchwd`BLdTRbRTRQVcAJmSUUMSMU`Tl`h@					1	20		
298-46-4	Carbamazepine	(5H-Dibenz[b,f]azepine-5-carboxamide)	MI, 12, 1826	CNS Drugs. 2007 21(1):47-71	09.08.1960	1963	Yes	N03AF01 	CHCl3, EtOH, CH3COCH3	Chemical classification (according ATC code)	Carboxamide derivatives		Oral		Plasmatic proteins	Liver	Active (10,11 epoxycarbamazepine)	1000	Ataxia, Blurred vision, Fatigue, Headache, Hypersensitivity reactions, Leucopenia, Mouth dryness, Nausea, Somnolence, Vertigo, Weight gain	Ion channel	Voltage-gated sodium channel	Central Nervous System	Analgesic, Anticonvulsant, Antidiuretic, Muscle relaxant	fdeQ@@DXAdTTtTTRbqUXp_QZh@``A@@@			70 - 80		16 - 24			
599-79-1	Sulfasalazine	2-hydroxy-5-[(E)-2-{4-[(pyridin-2-yl)sulfamoyl]phenyl}diazen-1-yl]benzoic acid	MI, 12, 9112	Drugs. 2005 65(13):1825-49	05.03.1946	1944	Yes	A07EC01	EtOH	Chemical classification (according ATC code)	Aminosalicylic acid derivative		Oral	Intestine		Colon	sulfapyridine, 5-aminosalicylic acid	2000	Anorexia, Depression, Dyspepsia, Dyspnea, Erythema, Fever, Fulminans hepatitis, Headache, Hepatic enzyme levels elevated, Nausea, Peripheral neuropathy, Taste alteration, Tinnitus, Vertigo			Infectiology, Metabolism	Antibacterial, Anti-inflammatory	fcoIR@LBCFBIkv@HrRPjJIIK[IQISJZ][s^kT@@@S@AS@@`F@						0 - 15		
1393-48-2	Thiostrepton		MI, 13, 9440	PLoS One. 2011 Feb 18 6(2):e17110	02.05.1961	Preclinical		Not yet attributed	CHCl3, DMF													Infectiology	Antibacterial	gd~Hdh@LC@pDRKCfJezcCcrEcyJxu^cX|uN`rZlnh|SLv{}i|}X@HzADpH`aBLHJHRDrDQDaHIHRDaDQHRLrDSDcHqHQHSHRLaLcJaHrDaDrDrDaLQHphRDrDaDbDRDaLaDcHsBaMrDpTECaitAP`LGSE^r|[Mg[UfzYZijijViZZjjijfYijVffBZhFjJjZjjjYjYjjjXjhdbNI\grDevWyRYY`VIYebuOXsQnNu@Zp								
148-79-8	Tiabendazole	2-(1,3-thiazol-4-yl)-1H-1,3-benzodiazole	MI, 12, 9426	Expert Opin Pharmacother. 2004 Dec 5(12):2615-9	29.11.1966	1967 Withdrawn		P02CA02	DMF, DMSO				Oral	GI tract		Liver		3000	Diarrhoea, Dizziness, Drowsiness, Headache, Hypotension, Mouth dryness, Nausea, Pruritus, Urinary troubles			Infectiology, Metabolism	Antifungal, Antihelmintic, Antiparasitic	fgApB@LLx@HRevUUpPTcViYj@H@@@		1 - 2						
